group,subgroup,rate_pre_12mo,rate_post_12mo,p_value_12mo,rate_pre_36mo,rate_post_36mo,p_value_36mo
funding,NIH,0.07782839787395596,0.3219404630650496,0.0,0.3921791951404708,0.619625137816979,0.0
funding,Industry,0.10232350312779268,0.314931650893796,0.0,0.4862972892463509,0.6713985278654049,0.0
funding,Other,0.057604641525072525,0.155155736119172,0.0,0.3075010360547037,0.3383633197910621,0.0005
phase,Phase 1/2 & 2,0.08226727022239716,0.3733468972533062,0.0,0.4140917142294824,0.7955239064089522,0.0
phase,Phase 2/3 & 3,0.11044776119402985,0.39344262295081966,0.0,0.5470149253731343,0.8543876567020251,0.0
phase,Phase 4,0.14594594594594595,0.4046242774566474,0.0,0.5837837837837838,0.8063583815028902,0.0
phase,N/A,0.04865193594161768,0.1406628940986257,0.0,0.27326170687208595,0.3002425222312045,0.00098
intervention,Drug,0.10588700118530225,0.3793548387096774,0.0,0.5264059001712104,0.8148387096774193,0.0
intervention,Device,0.09127789046653144,0.29951430113329736,0.0,0.530764029749831,0.6395035078251484,0.0
intervention,Biological,0.10688591983556012,0.4533678756476684,0.0,0.5118191161356629,0.8523316062176166,0.0
intervention,Other,0.03075805279728748,0.08500330323717242,0.0,0.12157907483652217,0.18167804448359393,0.0
purpose,Treatment,0.09311173408089708,0.29468420077792185,0.0,0.4546455746896276,0.6184478607149472,0.0
purpose,Prevention,0.059027777777777776,0.19030520646319568,0.0,0.2986111111111111,0.36983842010771995,4e-05
purpose,Diagnostic,0.056451612903225805,0.19883040935672514,0.0,0.37701612903225806,0.52046783625731,4e-05
purpose,Other,0.04563233376792699,0.13921957671957672,0.0,0.24967405475880053,0.30952380952380953,0.0
status,Completed,0.07929368649008829,0.21645861107744516,0.0,0.398384141262702,0.46854926675554476,0.0
status,Terminated,0.10055350553505535,0.3106200122774708,0.0,0.46079335793357934,0.6132596685082873,0.0
